trials,target,flanker,type,correct,congruency,,,,,,,
1,https://drive.google.com/uc?id=1CNCUS5p5rEI3Tsej69dKbBmtjsvnS7Lq,https://drive.google.com/uc?id=1CNCUS5p5rEI3Tsej69dKbBmtjsvnS7Lq,prac,p,c,,,,,,,
2,https://drive.google.com/uc?id=14yNrNNjjtmBFc3pBiwa8_m-hhvLXwpqZ,https://drive.google.com/uc?id=14yNrNNjjtmBFc3pBiwa8_m-hhvLXwpqZ,prac,q,c,,,,,,,
3,https://drive.google.com/uc?id=1CNCUS5p5rEI3Tsej69dKbBmtjsvnS7Lq,https://drive.google.com/uc?id=14yNrNNjjtmBFc3pBiwa8_m-hhvLXwpqZ,prac,p,i,,,,,,,
4,https://drive.google.com/uc?id=1CNCUS5p5rEI3Tsej69dKbBmtjsvnS7Lq,https://drive.google.com/uc?id=1CNCUS5p5rEI3Tsej69dKbBmtjsvnS7Lq,prac,p,c,,,,,,,
5,https://drive.google.com/uc?id=14yNrNNjjtmBFc3pBiwa8_m-hhvLXwpqZ,https://drive.google.com/uc?id=1CNCUS5p5rEI3Tsej69dKbBmtjsvnS7Lq,prac,q,i,,,,,,,
6,https://drive.google.com/uc?id=1CNCUS5p5rEI3Tsej69dKbBmtjsvnS7Lq,https://drive.google.com/uc?id=14yNrNNjjtmBFc3pBiwa8_m-hhvLXwpqZ,prac,p,i,,,,,,,
7,https://drive.google.com/uc?id=14yNrNNjjtmBFc3pBiwa8_m-hhvLXwpqZ,https://drive.google.com/uc?id=14yNrNNjjtmBFc3pBiwa8_m-hhvLXwpqZ,prac,q,c,,,,,,,
8,https://drive.google.com/uc?id=14yNrNNjjtmBFc3pBiwa8_m-hhvLXwpqZ,https://drive.google.com/uc?id=1CNCUS5p5rEI3Tsej69dKbBmtjsvnS7Lq,prac,q,i,,,,,,,
1,https://drive.google.com/uc?id=1CNCUS5p5rEI3Tsej69dKbBmtjsvnS7Lq,https://drive.google.com/uc?id=14yNrNNjjtmBFc3pBiwa8_m-hhvLXwpqZ,exp,p,i,,,,,,,
2,https://drive.google.com/uc?id=14yNrNNjjtmBFc3pBiwa8_m-hhvLXwpqZ,https://drive.google.com/uc?id=14yNrNNjjtmBFc3pBiwa8_m-hhvLXwpqZ,exp,q,c,,,,,,,
3,https://drive.google.com/uc?id=14yNrNNjjtmBFc3pBiwa8_m-hhvLXwpqZ,https://drive.google.com/uc?id=1CNCUS5p5rEI3Tsej69dKbBmtjsvnS7Lq,exp,q,i,,,,,,,
4,https://drive.google.com/uc?id=1CNCUS5p5rEI3Tsej69dKbBmtjsvnS7Lq,https://drive.google.com/uc?id=1CNCUS5p5rEI3Tsej69dKbBmtjsvnS7Lq,exp,p,c,,,,,,,
5,https://drive.google.com/uc?id=14yNrNNjjtmBFc3pBiwa8_m-hhvLXwpqZ,https://drive.google.com/uc?id=1CNCUS5p5rEI3Tsej69dKbBmtjsvnS7Lq,exp,q,i,,,,,,,
6,https://drive.google.com/uc?id=14yNrNNjjtmBFc3pBiwa8_m-hhvLXwpqZ,https://drive.google.com/uc?id=14yNrNNjjtmBFc3pBiwa8_m-hhvLXwpqZ,exp,q,c,,,,,,,
7,https://drive.google.com/uc?id=1CNCUS5p5rEI3Tsej69dKbBmtjsvnS7Lq,https://drive.google.com/uc?id=14yNrNNjjtmBFc3pBiwa8_m-hhvLXwpqZ,exp,p,i,,,,,,,
8,https://drive.google.com/uc?id=1CNCUS5p5rEI3Tsej69dKbBmtjsvnS7Lq,https://drive.google.com/uc?id=1CNCUS5p5rEI3Tsej69dKbBmtjsvnS7Lq,exp,p,c,,,,,,,
,,,,,,,,,,,,
