trials,target,flanker,type,correct,congruency
1,/WM09_AC.bmp,/WM09_AC.bmp,prac,p,c
2,/WM09_HC.bmp,/WM09_HC.bmp,prac,q,c
3,/WM09_AC.bmp,/WM09_HC.bmp,prac,p,i
4,/WM09_AC.bmp,/WM09_AC.bmp,prac,p,c
5,/WM09_HC.bmp,/WM09_AC.bmp,prac,q,i
6,/WM09_AC.bmp,/WM09_HC.bmp,prac,p,i
7,/WM09_HC.bmp,/WM09_HC.bmp,prac,q,c
8,/WM09_HC.bmp,/WM09_AC.bmp,prac,q,i
1,/WM09_AC.bmp,/WM09_HC.bmp,exp,p,i
2,/WM09_HC.bmp,/WM09_HC.bmp,exp,q,c
3,/WM09_HC.bmp,/WM09_AC.bmp,exp,q,i
4,/WM09_AC.bmp,/WM09_AC.bmp,exp,p,c
5,/WM09_HC.bmp,/WM09_AC.bmp,exp,q,i
6,/WM09_HC.bmp,/WM09_HC.bmp,exp,q,c
7,/WM09_AC.bmp,/WM09_HC.bmp,exp,p,i
8,/WM09_AC.bmp,/WM09_AC.bmp,exp,p,c
